State,Employed,Not employed,Retired,<High school,High school,Some college,College graduate
Alaska,26.2 (23.6–28.9),32.1 (27.8–36.8),16.0 (12.6–20.2),47.1 (37.8–56.5),34.9 (31.1–38.9),24.2 (21.0–27.8),12.9 (10.5–15.7)
Arizona,33.0 (28.5–37.8),28.7 (23.5–34.5),13.8 (10.8–17.5),40.4 (30.9–50.7),36.5 (30.7–42.7),24.4 (19.9–29.4),14.6 (11.6–18.3)
California,22.9 (20.9–25.1),30.2 (27.1–33.4),15.0 (12.2–18.2),38.5 (34.2–43.0),29.9 (26.5–33.7),21.4 (18.8–24.2),11.5 (9.8–13.5)
Connecticut,18.9 (17.1–20.9),24.3 (20.8–28.2),15.0 (12.7–17.7),27.8 (22.4–33.9),26.9 (23.7–30.3),19.9 (17.2–23.0),10.2 (8.7–12.0)
District of Columbia,18.5 (15.7–21.7),34.6 (29.5–40.1),18.5 (15.3–22.1),45.6 (36.4–55.2),39.0 (33.1–45.2),28.9 (23.4–35.0),8.4 (7.0–10.1)
Indiana,35.9 (33.3–38.6),40.5 (36.5–44.5),23.3 (20.5–26.3),50.7 (44.3–57.0),39.6 (36.4–42.9),33.0 (29.6–36.6),20.9 (18.1–23.9)
Iowa,34.2 (31.4–37.1),33.1 (28.1–38.6),12.0 (9.9–14.6),49.2 (40.0–58.5),34.6 (31.1–38.3),28.8 (25.2–32.6),17.6 (14.9–20.6)
Kansas,32.4 (31.0–33.9),35.3 (32.6–38.0),15.4 (14.0–17.0),45.2 (40.9–49.7),37.0 (34.8–39.2),30.6 (28.6–32.6),17.2 (15.8–18.7)
Kentucky,43.4 (41.3–45.5),46.1 (43.0–49.3),27.3 (24.7–30.0),53.4 (48.6–58.1),47.0 (44.4–49.6),39.7 (37.1–42.4),24.0 (21.9–26.2)
Louisiana,46.9 (43.5–50.3),48.4 (43.8–53.0),29.3 (26.4–32.5),60.0 (53.3–66.5),48.6 (44.8–52.5),40.7 (36.6–44.9),26.3 (23.1–29.8)
Maryland,28.0 (26.2–29.9),31.5 (28.3–34.9),20.8 (18.7–23.1),40.7 (35.2–46.5),36.9 (34.1–39.9),27.2 (24.7–29.9),15.5 (14.1–17.0)
Minnesota,23.5 (21.8–25.3),25.0 (21.5–28.9),8.9 (6.8–11.7),30.6 (24.6–37.3),27.1 (24.2–30.1),21.9 (19.6–24.4),12.7 (11.2–14.5)
Mississippi,49.7 (47.1–52.3),49.5 (46.1–52.9),29.7 (27.0–32.5),51.1 (46.6–55.6),49.2 (46.0–52.4),47.2 (43.8–50.6),34.9 (31.9–38.0)
Nebraska,31.1 (28.9–33.4),30.5 (26.3–35.1),14.9 (12.5–17.6),52.3 (45.0–59.5),37.0 (33.8–40.3),25.9 (23.2–28.8),14.3 (12.2–16.6)
New Jersey,22.7 (20.1–25.6),30.1 (25.3–35.3),13.3 (10.4–17.0),40.0 (32.2–48.3),29.5 (25.4–33.9),22.2 (18.6–26.4),11.5 (9.5–13.8)
New York,23.1 (20.7–25.7),24.6 (21.0–28.7),16.1 (13.4–19.3),31.3 (25.2–38.1),26.1 (22.4–30.2),24.2 (21.0–27.8),13.6 (11.6–15.9)
North Carolina,42.1 (39.2–45.1),46.0 (41.5–50.7),25.9 (22.4–29.8),52.1 (46.2–57.9),47.2 (43.0–51.3),41.5 (37.4–45.7),23.5 (20.4–26.9)
Ohio,32.0 (29.9–34.3),39.0 (35.3–42.8),18.1 (15.7–20.8),44.4 (38.0–50.9),36.6 (33.8–39.5),31.8 (28.9–34.9),16.0 (14.0–18.2)
Oklahoma,46.5 (43.5–49.6),48.2 (43.8–52.6),21.9 (19.0–25.1),51.5 (44.5–58.3),50.8 (46.9–54.6),43.5 (39.7–47.4),24.9 (21.8–28.3)
South Carolina,42.0 (40.0–44.1),46.5 (43.6–49.4),26.2 (23.8–28.6),55.6 (51.3–59.7),46.5 (43.9–49.1),39.1 (36.5–41.8),23.5 (21.4–25.7)
Utah,30.3 (28.9–31.8),25.6 (23.3–27.9),17.4 (15.5–19.5),48.5 (43.1–53.8),36.4 (34.2–38.6),25.0 (23.3–26.7),15.1 (13.8–16.5)
Vermont,16.7 (15.0–18.6),21.5 (18.0–25.5),11.2 (9.4–13.4),32.9 (26.0–40.6),21.5 (19.0–24.2),16.9 (14.3–19.8),7.8 (6.6–9.3)
West Virginia,46.1 (43.7–48.4),47.7 (44.7–50.8),22.3 (20.0–24.9),47.5 (43.1–51.8),46.6 (44.1–49.1),40.7 (37.6–43.9),26.1 (23.4–29.0)
Wisconsin,29.7 (27.1–32.3),30.8 (26.1–35.8),12.5 (10.0–15.5),35.5 (27.5–44.5),32.6 (29.2–36.2),27.6 (24.2–31.3),13.6 (11.5–16.1)
